,order_date,vendas,holt,holt_winters_add,holt_winters_mul,"SARIMAX(0,1,0)x(2,0,1,7)",LSTM
0,2016-01-01,4378,7909.0,4402.187443602895,4446.683383170282,,
1,2016-01-02,7909,7593.723735714286,7929.145106256925,8126.711048591496,,
2,2016-01-03,8080,11135.21915282614,8105.8768287916055,8374.016444300129,,
3,2016-01-04,8334,11035.000835456776,8365.82533870582,8691.926414039865,,
4,2016-01-05,7938,11032.557519858206,7975.217301864815,8316.878014467764,,
5,2016-01-06,6234,10346.745369128059,6277.30007416751,6552.807681309846,,
6,2016-01-07,6856,8260.053381320027,6901.8995669411015,7222.755440508864,,
7,2016-01-08,9392,8736.124402443715,4441.509155850066,4599.746708991136,,
8,2016-01-09,8589,11323.66601835606,9066.092136491965,10665.173750632895,,
9,2016-01-10,8809,10279.772276452484,9157.804627672163,10526.817595648288,,
10,2016-01-11,8158,10354.776491267265,9360.560231671448,10576.345938307068,,
11,2016-01-12,7652,9500.276641315922,8724.722675651312,9637.911441826975,,
12,2016-01-13,6027,8818.263658083422,6806.919515944584,7281.053202572538,,
13,2016-01-14,6827,6934.795659539257,7274.75067753467,7768.230916014333,,
14,2016-01-15,10190,7711.214472133645,6140.612525442382,6304.900056242662,,
15,2016-01-16,12066,11295.001532122893,9035.782102959743,9877.729993834299,,
16,2016-01-17,9235,13252.23644439046,9936.349879379892,10921.225475504645,,
17,2016-01-18,8720,10066.400046489163,9832.041531493562,10793.065378247516,,
18,2016-01-19,8263,9411.096368687711,9263.378182496375,9995.759420977896,,
19,2016-01-20,7480,8844.853030545366,7455.098823414184,7691.3703282940705,,
20,2016-01-21,6878,7934.2474213245905,8205.407576617788,8648.964709375803,,
21,2016-01-22,9635,7231.112835821641,8161.4543191385,8278.547225602806,,
22,2016-01-23,8939,10197.47010477181,10211.454736154177,10605.358561286752,,
23,2016-01-24,8432,9401.123142023542,9110.438105764388,9613.175667326068,,
24,2016-01-25,8462,8801.299632097242,8880.843037127484,9446.963336571409,,
25,2016-01-26,7960,8796.158598522175,8482.359576957486,8974.906876610594,,
26,2016-01-27,5864,8217.803091782689,7057.370542535363,7285.8211822864305,,
27,2016-01-28,6313,5907.455704159262,7147.043753868592,7441.759786801257,,
28,2016-01-29,9932,6380.8969664106435,7988.560626416665,7957.346098286486,,
29,2016-01-30,9892,10318.995913753262,9354.022978198998,9515.8226518655,,
30,2016-01-31,8048,10258.625777107729,8809.216754818466,9142.227102590776,,
31,2016-02-01,8307,8215.10823261678,8630.408583768303,9021.86241054331,,
32,2016-02-02,7104,8471.259944608952,8219.164668559277,8591.058734913524,,
33,2016-02-03,5670,7146.6393672963895,6469.673383726267,6695.881014966883,,
34,2016-02-04,5931,5573.956751113865,6741.2765148444305,6988.338074312106,,
35,2016-02-05,9169,5859.453265888047,8367.532059582973,8296.838356417984,,
36,2016-02-06,9372,9394.741606122794,9079.280949799522,9058.217391679089,,
37,2016-02-07,9227,9612.258785099992,8104.3881449416285,8303.116669544792,,
38,2016-02-08,9015,9432.746053974059,8454.816750424132,8772.001285801709,,
39,2016-02-09,7502,9181.520010595985,8011.811081098518,8354.194942862416,,
40,2016-02-10,5783,7516.470137665733,6485.144482030872,6666.822330188274,,
41,2016-02-11,5001,5634.294290868462,6777.67451988151,6996.06374516552,,
42,2016-02-12,6328,4787.081299223327,8648.735482151786,8581.128344364039,,
43,2016-02-13,6576,6248.500523478094,8527.322011996444,8340.956057543943,,
44,2016-02-14,7989,6533.4469214320925,7279.606760058359,7292.501855510561,,
45,2016-02-15,8458,8078.047980717976,7359.597685053591,7477.201046963076,,
46,2016-02-16,7877,8588.250938194375,6711.156357355638,7028.080764479833,,
47,2016-02-17,6650,7945.644456783101,5479.8033545268745,5867.665555506578,,
48,2016-02-18,6640,6599.40257644017,5868.012245515029,6296.738301704599,,
49,2016-02-19,9330,6586.549220777486,8140.619052501058,8495.124255212093,,
50,2016-02-20,9660,9521.709702351533,8900.165043159757,9214.569035499042,,
